Country Name,Country Code,Series Name,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Control of Corruption: Estimate,-1.445960641,-1.364934087,-1.354713082,-1.540227771,-1.530074596,-1.502875924,-1.419310093,-1.493360877,-1.152265787,-1.183684349,-1.154931784
Afghanistan,AFG,Government Effectiveness: Estimate,-1.401462913,-1.361646175,-1.397394896,-1.291468024,-1.386596799,-1.50175786,-1.519112587,-1.611539483,-1.670587897,-1.880034804,-1.987013698
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,-2.519349098,-2.411068439,-2.56262517,-2.662156105,-2.794975519,-2.753441334,-2.65253973,-2.702721119,-2.518676043,-2.544955969,-2.484080553
Afghanistan,AFG,Regulatory Quality: Estimate,-1.1930902,-1.124133706,-1.018826246,-1.339695096,-1.363010406,-1.138203621,-1.113777995,-1.389163017,-1.311682105,-1.27180624,-1.266425252
Afghanistan,AFG,Rule of Law: Estimate,-1.609755158,-1.437701941,-1.516200662,-1.522533655,-1.5811764,-1.689123869,-1.742100477,-1.831406713,-1.877233982,-1.659845591,-1.649640918
Afghanistan,AFG,Voice and Accountability: Estimate,-1.240139127,-1.135522604,-1.117628098,-1.037836909,-0.990954161,-1.007686734,-1.006712914,-1.078266859,-1.568389416,-1.753528714,-1.85290134
Albania,ALB,Control of Corruption: Estimate,-0.751372695,-0.586571813,-0.545140803,-0.472373724,-0.48138684,-0.546018898,-0.564274073,-0.57353878,-0.577179968,-0.408189446,-0.332218528
Albania,ALB,Government Effectiveness: Estimate,-0.324457377,-0.04977081,0.027575254,0.029082362,0.098552845,0.080524534,-0.062300701,-0.155121222,-0.035985023,0.064540535,0.250855356
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,0.091929786,0.485986233,0.341639042,0.337447882,0.373770744,0.366779268,0.110105053,0.088612519,0.196371928,0.106261313,0.183348969
Albania,ALB,Regulatory Quality: Estimate,0.254160255,0.279037684,0.174237311,0.186607629,0.220610321,0.256079823,0.272065461,0.221967235,0.175859392,0.159353822,0.171953663
